summonerId,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
ChYLzU8791E9eoogl8H0HstlER5Q3Rt4SJEY2q1OfiMtl-c,1278,I,132,87,False,False,False,False
n2EU1QV7GKQzeNp-KJ8yEGJdPo-tBMXR6A6a5RYm9kykPc-2iLL5xeSeqQ,1273,I,320,274,True,False,False,False
ZEmW-MkE4OBzvtLhsDCEBZuuhJhaIdg_X4XpPqBTY7It1AQOnlhtnM00vg,1266,I,274,232,True,False,False,False
Coyb7YquJo9_DQKmt9sVb3--JI9DkCfIs0_FJ2kRrO3oBQ,1265,I,215,167,True,False,False,True
Zwioq9BX4IEwA5P3049uEWAEVCRaenaA2WY_X5a_eY54mIuH,1262,I,147,100,True,False,False,False
PsJsmqB8ZSBnI0eTi0Yfl4Vzggd_MwLA4cvaDXhQRTNE2KUYy9BwPTcVfw,1249,I,168,120,False,False,False,False
g30wpp6tsUDfmsbqWtKihZo9akmFgoLs0WUnhNwi4aYSD-E,1247,I,156,100,False,False,False,False
4ik-qd5yfJmgETcFsYzF4CmOu8fYDqh_7X_ghrU54dhlGXIXZ6XiwUjIRQ,1231,I,199,156,True,False,False,False
EAy_XBSpZwzNS181eg644YywORQy6jnCsHUYKoxDSUwbCEGwMwmGpZUtyA,1229,I,271,227,True,False,False,False
PbWXYIG3gO1TA6t-Y1568HVbdylyI586ifYvyJA4JkHiVuY,1222,I,152,108,True,False,False,False
9u2hl7TvTYaYvJ96GQYfT6il31qx63OkTHg4cYAqiCtwA6zYXlcMcqzsCA,1219,I,326,258,True,False,False,False
b9TitMG8fro07dX09GDnP0IQAlgn2sJ-KwKnPaWtbKNgtb6yzFdvAGAuGA,1219,I,164,119,True,False,False,False
vlIplct1iCKT8xa05myXZpY3d2b5pJbwaoUlLOf-ut3Rp-hBfn_KgVS8aQ,1217,I,212,174,True,False,False,False
A4PjrL5a_TBcjwarWqKAngFoCgex1sPGwsgclZBROTqBq1nnkdmPyCztWw,1213,I,216,172,True,False,False,False
0Idgcjak38CeDazq2OvP1vU1sVNUDn-XmoUUnS6ywl5qmkQ,1210,I,141,95,True,False,False,False
HyY0gg8E0vA1t1fOHOvxjsMg64PfJb-8Rz4jZ7l4MWwr8P8,1206,I,230,186,True,False,False,False
AqrV27eAqa2N5zC0N2C7lsGjbP0mzAdsGDml4DQhMCG_QIpszahwjo8SBg,1194,I,217,180,True,False,False,False
0M1qG27nI8axBk5GfLZ67guh9deZrXlh_IJ-19HJoZity8Q,1180,I,241,204,True,False,False,False
Xx6IgOSBQ4_cDNKsCG8aGYbTaZAb6zylnSjNUxZnCs_Os94,1179,I,248,203,True,False,False,False
Zri3N3nNl9o3AK9fqsw96MEBinxbKGkJ_w5nLzgSpHXGIks4VYSZ6XNP8A,1179,I,246,203,True,False,False,False
aFeXiew6wOGR-vqYOThrpAxhWr3cyzrGNT0gdow21_jm64jovUh7DpLg3A,1174,I,119,68,False,False,False,False
6MQ4AkJCJRSPjto_8rBWb1nvfmXausjAsXDc0VFxxiORZ8PA0iGPLRQHZw,1171,I,186,146,True,False,False,False
Ax5iQgPkFT0Xqx6AMOyubqRgUn7oftAxo1wTVdQZHFBJvVpDjHzZGhUjuQ,1165,I,284,244,False,False,False,False
0Cbrfa5oUTPaSxXDtCjeTgyMwymJzO3lupg8VgzZoH4l0738LntUhZ6KCA,1162,I,311,256,True,False,False,False
bYevADLR9u4oh8JyJw0Uk2m433xMeePTuttnvInZY78GG53ornV33zibcA,1153,I,255,215,True,False,False,False
KCMyUXribkWzRyjyx05-Q8kovc6gwqxub-VR8TTIZDlPFyg,1153,I,150,108,True,False,False,False
ldru4twlGwee6i2mYQ41we6H3Zo-IU0L1kcjrBPg2CBtkv3pNWmRZyu8iQ,1152,I,149,101,True,False,False,False
7WyvkWL2azZUKn8CMCVqWPHpz2sO7i4QDrGE3OvQooTamgv98R3_wxbgwg,1139,I,237,192,True,False,False,False
gxAN3VCEZU9wcxW16CyD0o8kxPiQkiKBbQUlobSZX5a4iXY,1130,I,212,173,True,False,False,False
00D0IJ6BL8tXX6YxAWHyZxFCU6wNCvTIp2VK0Id72F0xg-WrYhWm8x9Gqw,1128,I,112,70,True,False,False,False
JbU4Qfyjg_7E9QNY1j4nkaKNRb0b_e4dfSmz0Gcm6L7u2VT8,1124,I,241,199,True,False,False,False
BeUOrdBwqv-ott4swjGN8o2mAvqUSQ8JjKC8-nw1e4Li-Cc,1120,I,182,145,True,False,False,False
iwMxrx53LvfvRozwYetpccU5SaFC0S_jyhtrimfBgXkN7cP-tXdWOcQ_HA,1118,I,166,101,False,False,True,False
N6S-MF_Ub9hhPJ5ObU2ZKm0qksV_EUlYsELc9ZFKxIFl9CdrRt7vvzJ_dA,1115,I,198,152,True,False,False,False
NXkp5Fswmls6n0hxz5KMeAoxDcvM7aaGByZPhMbFkPDdFGfI,1114,I,207,170,True,False,False,False
DLmjZq-FeA-HPx6sAtzCbLQZ_e1qizPX5JB33WODy-ucNSp0DbLY4cqZ_g,1114,I,119,71,False,False,False,False
99BW3bSnrWjndBVjLCi2V6kMpHSsTTbk-yLIpHQSx12k3YOjyWavOgzd-g,1113,I,169,128,True,False,False,False
3pcHtrEsBQk_fqK76QRqL5XdGQ8oCbh2a0m3SRayw04khkw1iucLTr4lXQ,1102,I,150,91,False,False,False,False
mGQKS7VHzcCrk53LnIO-DSWUetVSXPjcZqH_zg1TyG6Pzrg,1101,I,173,134,False,False,False,False
x4jmKvKuuKZvDpnIgC5opRrMduzstxUiEKVFp9L359ncqOQ,1100,I,196,150,False,False,True,False
FLush_VN3Dbmj8sSXcanL7xmKqeCfbRf9dfoOhH_MX_ukNM,1098,I,112,70,False,False,False,False
MD8eMKVmtIWjhkO-d9iuCTSPwAOAAdkxC_f4DHrbSWpDFx8yd8VEU_alDg,1089,I,274,236,True,False,False,False
-iPJcVWhhliK80KBxaQ7s_itFU36eumQjAeDWPEDMn_fBb5EQF7H_JR2Ug,1089,I,163,120,True,False,False,False
IFFLugcpx8Mx6tzfvRD19OXtgYDtFLG1udfNh8LcQY_3674ecxiYHKFVgQ,1087,I,177,141,False,False,False,False
0KbJH46UScRW3VxK83ew0XBg_RlFAKbfCKFsl7Sr_ZlaeM0,1084,I,171,132,True,False,False,False
Edt4t9j1vJf7ShfOSRBQK4yHscwiHwFgFKGAxIcY9PatdkjAOFX-fx3gRg,1084,I,170,115,False,False,True,True
WaT7aCyslBmngneBJcULDItT-G-m2THy9uIGgOsfciVc2R4,1084,I,164,125,True,False,False,False
-ijuPtehec0QiAEQ8oSS5jAQmpnt4zkoQl9P83NErSAmRbs,1082,I,148,107,False,False,False,False
s8ZU_htS6zOh_l7JJJ17E38xQerYz8DZADVU5l4ANYNMLq8,1082,I,139,95,False,False,False,False
XTjf_IEtYiT4mg8HZLX4Qj_zCIBEmEh66nxaOenSg2u16zM,1079,I,148,111,False,False,True,False
r__vuPKLXlCO-XgCT7z9kNpLwrrM5GnXgtp0uRv_PKifHuQ0Tik1bFkqEg,1077,I,229,183,True,False,False,False
dEWgfyWGBvZadNauzyVM-6o29foqdJDlay-lBWHry4syhpc,1077,I,117,79,False,False,False,False
cf2oi-W-YCr-J18wlw0ncPKkdTduTB_iZkZsxmngCQFA2ji0WS54F9JvRA,1075,I,113,71,False,False,False,True
w6rZaBxIq-j7GMPdpN26_xLBHfD7bYDsoYtvTzhxBDpSnm6V5-GzJ0vyig,1074,I,177,137,True,False,False,False
Z9g_F2hPXsTDaPYegKA5a_yZwvfcTpWv7wwmWGVBW05opAk_Ubl3_dc1rQ,1073,I,197,162,True,False,False,False
rce-Um_5JjYEm3Z_DjPQv3xyriOQx0mgnWvb_ndWsS7poUZdtpyr32Xkgw,1068,I,220,181,True,False,False,False
GG2gVm-GpmU0McMHEnFEMMlWUYnIlbYWi5YR-TisFYyeW_U,1068,I,107,63,False,False,False,False
fXc7UhSXcO_CbaO7b94JJXKJ1MF0cROeYLLqVm4WZSSLOb03UWGIYT1HXQ,1067,I,145,108,False,False,False,False
vLBd0ACqFmKYgO_qdnpC-Ko0tBsvWjQPiuMSX9Yw4e7Xh_GOWsl1hTcZhw,1066,I,161,131,True,False,False,False
UxO8xCmK6H8S_7apn1DBg776ZNNNs_q8oI3RyvDMMzWuwPeFrdN_MTp9Qg,1066,I,122,76,False,False,False,False
NnvM0jwx0rVNPVwPmFhn42f_UlqPLwxZguVNotR_RejYW3wYZHemXIAvuA,1064,I,375,342,False,False,True,False
4E8vYQFDJOONGHWE2HZVWBkEn8LCMdFTGmObxNt_jiH-had0o0JU-E8aSw,1063,I,170,134,True,False,False,False
-RxgjQWs-9cBi8vxzoIbpEMAQ1iWoV7WLoV7tzJ_mrZNBH6Hi3XNbiqVRA,1061,I,250,207,True,False,False,True
Q_4RB0WRPY2V7AXXKKzDFS046NKePwgkdhhO8HmLJmU_4QA,1059,I,128,88,False,False,False,False
AYXvpt_5XkXJLTwhYHrSeQmsM_dHXdVi2Jwhhmt2nSWcPUXLplohMionng,1057,I,154,110,False,False,False,True
Nrry-TJnhe_utrT28DRznWLbDthtCouUVQoDm37-rP5tvD0aiRwocbcjBw,1057,I,119,79,False,False,True,False
95K12OBGswyoajm_J5zk5Y195qybeB9lLwkb8v0riLhIRV6BGoSMwWwOnQ,1055,I,143,100,True,False,False,False
l4zeOtpisFi4lpb2lFxfMbqxQtoK55IZrsSWiXDqXrlI0sQ,1054,I,208,178,True,False,False,False
gAY5dwSDPJLHMfP704Vo1y6z5qcYldrKsQA2_eEVSqUd3HA,1050,I,150,111,True,False,False,False
T8daLKA_qfpGqp8IJseSuamANDAS1TC3ns2HwmbL_tEVP_J5nCP3Z_VMSg,1050,I,147,114,True,False,False,False
B_DJPqoNFKHdMboUWe42blAGWxOUamZ4zlITjFZvAwfypLkRYyq3bVTTbA,1049,I,263,223,True,False,False,False
RcOw1A8f1iw5dxlrPMp_hvLcOuywZwYzKj56J2J6xQVSxA,1048,I,194,147,False,False,False,False
Cq3n6PLBUXsCUHT0bcGUxpvcXawnOuZDbsJKFQzY-JDLNHGhB9gF6qLH1g,1048,I,141,104,True,False,False,False
vO9Xx2ArfOMvYgcHe-jKUWQ-KoIBbwSrA4OUb03iKbqR-G8,1042,I,243,206,True,False,False,False
-6aXsBfBubMtsGUgzchY1BfbI0f_yYoQpG5Se3crUin7--4HnW08etM7eQ,1042,I,233,201,True,False,False,True
rCIUPc2R5XcmpWEMwGGUhp7EWrB3KbRo4yt5BBXB4UjkkS_Q-04PL3G41A,1039,I,266,226,True,False,False,False
